+------------------+------------------------------------------------------+
| customer_id      | customername                                         |
+------------------+------------------------------------------------------+
| AAAAAAAAAACBGAAA | Dillard                       , Robert               |
| AAAAAAAAAACBGAAA | Dillard                       , Robert               |
| AAAAAAAAAACBGAAA | Dillard                       , Robert               |
| AAAAAAAAAACBGAAA | Dillard                       , Robert               |
| AAAAAAAAAACBGAAA | Dillard                       , Robert               |
| AAAAAAAAAACBGAAA | Dillard                       , Robert               |
| AAAAAAAAAACBGAAA | Dillard                       , Robert               |
| AAAAAAAAAACBGAAA | Dillard                       , Robert               |
| AAAAAAAAAACBGAAA | Dillard                       , Robert               |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAAKJIAAA | Barth                         , Chad                 |
| AAAAAAAAAANBFAAA | Flowers                       , Howard               |
| AAAAAAAAAANBFAAA | Flowers                       , Howard               |
| AAAAAAAAAANBFAAA | Flowers                       , Howard               |
| AAAAAAAAAANBFAAA | Flowers                       , Howard               |
| AAAAAAAAAANBFAAA | Flowers                       , Howard               |
| AAAAAAAAAANBFAAA | Flowers                       , Howard               |
| AAAAAAAAAANBFAAA | Flowers                       , Howard               |
| AAAAAAAAABEGJAAA | , Wanda                                              |
| AAAAAAAAABEGJAAA | , Wanda                                              |
| AAAAAAAAABEGJAAA | , Wanda                                              |
| AAAAAAAAABEGJAAA | , Wanda                                              |
| AAAAAAAAABEGJAAA | , Wanda                                              |
| AAAAAAAAABEGJAAA | , Wanda                                              |
| AAAAAAAAABGDFAAA | Ashworth                      , Betty                |
| AAAAAAAAABGDFAAA | Ashworth                      , Betty                |
| AAAAAAAAABGDFAAA | Ashworth                      , Betty                |
| AAAAAAAAABGDFAAA | Ashworth                      , Betty                |
| AAAAAAAAABGDFAAA | Ashworth                      , Betty                |
| AAAAAAAAABJBDAAA | Henderson                     , Hugh                 |
| AAAAAAAAABJBDAAA | Henderson                     , Hugh                 |
| AAAAAAAAABJBDAAA | Henderson                     , Hugh                 |
| AAAAAAAAABJBDAAA | Henderson                     , Hugh                 |
| AAAAAAAAABJBDAAA | Henderson                     , Hugh                 |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABMFKAAA | Gregg                         , Donald               |
| AAAAAAAAABPKDAAA | Colbert                       , Joseph               |
| AAAAAAAAABPKDAAA | Colbert                       , Joseph               |
| AAAAAAAAABPKDAAA | Colbert                       , Joseph               |
| AAAAAAAAABPKDAAA | Colbert                       , Joseph               |
| AAAAAAAAABPKDAAA | Colbert                       , Joseph               |
| AAAAAAAAABPKDAAA | Colbert                       , Joseph               |
