+--------------------------------+----------------------+-----------------------+------------------+----------+-----------+
| c_last_name                    | c_first_name         | substr(s_city, 1, 30) | ss_ticket_number | amt      | profit    |
+--------------------------------+----------------------+-----------------------+------------------+----------+-----------+
| Aaron                          | Brandon              | Midway                | 4795929          | 7048.58  | -15673.68 |
| Aaron                          | Charles              | Midway                | 5027201          | 1983.82  | -3776.36  |
| Aaron                          | Christina            | Midway                | 1031067          | 289.40   | -5835.50  |
| Aaron                          | Cody                 | Midway                | 4528506          | 10109.03 | -11439.52 |
| Aaron                          | Elmer                | Oak Grove             | 5952657          | 3259.84  | -3843.85  |
| Aaron                          | Frank                | Fairview              | 5275578          | 100.35   | -6981.21  |
| Aaron                          | Frank                | Five Points           | 1609612          | 59.14    | -4964.00  |
| Aaron                          | Frank                | Oak Grove             | 3305093          | 258.72   | -15265.75 |
| Aaron                          | Genevieve            | Five Points           | 1977429          | 1250.02  | -9211.94  |
| Aaron                          | George               | Fairview              | 4948946          | 132.06   | -3454.70  |
| Aaron                          | Guy                  | Oak Grove             | 5422176          | 1699.67  | -13206.20 |
| Aaron                          | Henry                | Midway                | 4172494          | 2082.54  | -44.95    |
| Aaron                          | Henry                | Oak Grove             | 530301           | 0.00     | -11190.86 |
| Aaron                          | James                | Fairview              | 5907317          | 1959.64  | -1389.74  |
| Aaron                          | James                | Oak Grove             | 196629           | 5092.73  | -17360.64 |
| Aaron                          | John                 | Midway                | 5422056          | 0.00     | -12849.60 |
| Aaron                          | John                 | Midway                | 130160           | 0.00     | 2413.90   |
| Aaron                          | John                 | Oak Grove             | 2363735          | 3600.65  | -12758.50 |
| Aaron                          | John                 | Oak Grove             | 3967354          | 3550.38  | -5188.78  |
| Aaron                          | John                 | Oak Grove             | 5938528          | 297.56   | -1143.13  |
| Aaron                          | Jon                  | Midway                | 5749638          | 3061.98  | -7370.55  |
| Aaron                          | Jon                  | Oak Grove             | 1373644          | 110.11   | -4763.62  |
| Aaron                          | Joyce                | Oak Grove             | 438445           | 28.32    | -7646.24  |
| Aaron                          | Justin               | Fairview              | 2598910          | 0.00     | -8163.41  |
| Aaron                          | Justin               | Five Points           | 4925116          | 3912.04  | -18014.44 |
| Aaron                          | Karen                | Midway                | 3654074          | 1120.93  | -13849.09 |
| Aaron                          | Larry                | Midway                | 4920569          | 2256.71  | -6437.43  |
| Aaron                          | Margaret             | Midway                | 2585963          | 466.06   | -14309.97 |
| Aaron                          | Margaret             | Midway                | 1075898          | 675.40   | -12502.16 |
| Aaron                          | Margaret             | Midway                | 1075898          | 0.00     | NULL      |
| Aaron                          | Martha               | Oak Grove             | 564594           | 220.32   | -10525.48 |
| Aaron                          | Michael              | Five Points           | 1394274          | 7111.96  | -11102.22 |
| Aaron                          | Robert               | Five Points           | 3667273          | 1486.21  | -15667.63 |
| Aaron                          | Robert               | Five Points           | 2473261          | 225.00   | -4914.67  |
| Aaron                          | Robert               | Midway                | 2113953          | 417.15   | -11985.94 |
| Aaron                          | Robert               | Oak Grove             | 4026088          | 150.61   | -9382.17  |
| Aaron                          | Ruby                 | Midway                | 3885783          | 690.62   | -20041.74 |
| Aaron                          | Ruth                 | Midway                | 669397           | 884.58   | -15011.66 |
| Aaron                          | Suzann               | Five Points           | 3475936          | 5236.06  | -4627.92  |
| Aaron                          | Suzann               | Oak Grove             | 2185227          | 7100.15  | -10669.58 |
| Aaron                          | Terrell              | Five Points           | 5613255          | 74.03    | -7876.25  |
| Aaron                          | Terrell              | Oak Grove             | 5150252          | 0.80     | 6251.56   |
| Aaron                          | Tony                 | Midway                | 4714080          | 0.00     | -11812.54 |
| Aaron                          | Tony                 | Midway                | 34005            | 1012.00  | -7594.81  |
| Aaron                          | Tony                 | Midway                | 5973988          | 0.00     | -1182.31  |
| Aaron                          | NULL                 | Midway                | 5266558          | 10090.94 | -12202.84 |
| Aaron                          | NULL                 | Midway                | 1114777          | 3195.38  | -1736.70  |
