+--------------------------------+----------------------+-----------------+-----------------+------------------+----------------+--------------+------------+
| c_last_name                    | c_first_name         | ca_city         | bought_city     | ss_ticket_number | extended_price | extended_tax | list_price |
+--------------------------------+----------------------+-----------------+-----------------+------------------+----------------+--------------+------------+
| Abbott                         | Allen                | Oak Grove       | Green Acres     | 337933           | 17838.94       | 461.06       | 25645.40   |
| Abbott                         | Sheryl               | Lebanon         | Mount Pleasant  | 654314           | 15672.20       | 832.83       | 45070.59   |
| Abbott                         | Michael              | Summit          | Sunnyside       | 851431           | 20102.69       | 289.50       | 51538.12   |
| Abbott                         | Harriet              | Wesley          | Five Forks      | 893510           | 31845.34       | 527.75       | 54120.40   |
| Abbott                         | Quentin              | Valley View     | Friendship      | 1432018          | 10381.76       | 469.01       | 18411.04   |
| Abbott                         | Marie                | Mount Olive     | Georgetown      | 1815007          | 10945.90       | 668.21       | 35647.61   |
| Abney                          | Ira                  | Griffin         | Friendship      | 1629741          | 36430.56       | 1149.91      | 47861.70   |
| Abraham                        | Jennifer             | Springdale      | Mount Pleasant  | 2211658          | 22350.71       | 965.60       | 35906.27   |
| Abrams                         | Joshua               | Fairfield       | Oak Grove       | 769287           | 29463.67       | 1729.65      | 46986.14   |
| Acevedo                        | John                 | Fayetteville    | Farmington      | 201733           | 13749.60       | 369.97       | 39853.08   |
| Acevedo                        | Thomas               | Sulphur Springs | Highland Park   | 1306925          | 10233.26       | 355.99       | 25856.74   |
| Ackerman                       | Richard              | Glendale        | Five Forks      | 301937           | 14258.88       | 626.37       | 38141.66   |
| Ackley                         | Abigail              | Macedonia       | Georgetown      | 1687317          | 22183.75       | 1189.36      | 46023.84   |
| Acosta                         | Albert               | Riverview       | Valley View     | 977494           | 40852.77       | 1279.10      | 82133.45   |
| Acosta                         | Diana                | Five Points     | Lakeside        | 1041137          | 25240.40       | 852.29       | 57198.71   |
| Acosta                         | Victor               | Elkton          | Dallas          | 1297891          | 15522.19       | 587.72       | 42810.55   |
| Acosta                         | Kathleen             | Jamestown       | Kingston        | 1677136          | 14779.56       | 511.95       | 24300.51   |
| Acosta                         | Lillie               | Royal           | Glenwood        | 1922145          | 12655.95       | 470.96       | 25777.07   |
| Adair                          | Kenneth              | Tipton          | Gary            | 280727           | 15035.04       | 688.18       | 28322.25   |
| Adam                           | Martin               | Ashland         | Blue Springs    | 2265838          | 12588.83       | 426.50       | 40816.47   |
| Adams                          | Stuart               | Newport         | Enterprise      | 195364           | 17001.85       | 691.07       | 27626.88   |
| Adams                          | Joseph               | Nelson          | Valley View     | 195913           | 32735.16       | 1250.49      | 58867.19   |
| Adams                          | Robert               | Hamilton        | Macedonia       | 290884           | 34269.45       | 826.25       | 51014.38   |
| Adams                          | Maritza              | Greenville      | Hopewell        | 364417           | 20382.04       | 948.90       | 34011.03   |
| Adams                          | Patrick              | Blair           | Shiloh          | 381795           | 18605.10       | 557.56       | 32444.03   |
| Adams                          | James                | Oak Grove       | Deerfield       | 452253           | 9139.87        | 227.37       | 29237.34   |
| Adams                          | Ava                  | Milan           | Riverdale       | 660775           | 9767.57        | 270.29       | 24199.15   |
| Adams                          | Susan                | Union Hill      | Farmington      | 987170           | 13134.74       | 583.70       | 45925.51   |
| Adams                          | Gilbert              | Pleasant Hill   | Newtown         | 1394953          | 24793.40       | 555.64       | 51571.56   |
| Adams                          | Steve                | Pleasant Hill   | Rockwood        | 1532234          | 26893.82       | 954.26       | 44199.44   |
